home_team,scores,away_team,type
Chelsea,3 2,Newcastle United,current
Morton,0 1,Hearts,current
Almeria,2 2,Sevilla,current
Lazio,1 2,Udinese,current
Sampdoria,2 1,Ascoli,current
Randers FC,0 1,FC Midtjylland,current
Warta Poznan,0 1,LKS Lódz,current
Gil Vicente,0 0,GD Chaves,current
Aveley,2 1,Tonbridge Angels,current
Aston Villa,0 4,Tottenham Hotspur,current
Brighton and Hove Albion,1 0,Nottingham Forest,current
West Ham United,2 2,Burnley,current
Liverpool,1 1,Manchester City,current
Huddersfield Town,1 4,West Bromwich Albion,current
Bristol City,1 0,Swansea City,current
Celtic,4 2,Livingston,current
Hibernian,0 2,Rangers,current
Bochum,1 2,SC Freiburg,current
Eintracht Frankfurt,3 1,Hoffenheim,current
Bayer Leverkusen,2 0,Wolfsburg,current
Alaves,1 0,Rayo Vallecano,current
Las Palmas,0 2,Athletic Bilbao,current
Real Madrid,4 0,Celta Vigo,current
Real Betis,2 3,Villarreal,current
Lecce,0 1,Verona,current
AC Milan,1 0,Empoli,current
Juventus,2 2,Atalanta,current
Fiorentina,2 2,Roma,current
Paris Saint-Germain,2 2,Reims,current
Le Havre,1 0,Toulouse,current
Metz,1 0,Clermont,current
Strasbourg,0 1,Monaco,current
Lille,2 2,Rennes,current
Marseille,2 0,Nantes,current
West Bromwich Albion WFC,1 1,Burnley Ladies,current
London Bees,3 6,Cheltenham Town Ladies,current
AZ Alkmaar,4 0,Excelsior,current
Ajax,2 2,Fortuna Sittard,current
PEC Zwolle,1 1,FC Volendam,current
NEC Nijmegen,2 0,Heerenveen,current
Feyenoord,3 0,Heracles Almelo,current
Valencia Femenino,2 2,Real Betis Féminas,current
Macarther South West United,0 3,Central Coast Mariners,current
Sydney FC,1 1,Brisbane,current
Shijiazhuang Ever Bright,1 0,Chengdu Rongcheng,current
Shenzhen Xinpengcheng,0 4,Tianjin Teda,current
Greuther Furth,1 4,SV 07 Elversberg,current
Kaiserslautern,3 2,VfL Osnabruck,current
St Pauli,2 0,Hertha Berlin,current
Atlanta United FC,4 1,New England Revolution,current
Columbus Crew,2 1,Chicago Fire,current
New York Red Bulls,2 1,FC Dallas,current
Orlando City SC,2 3,Minnesota United FC,current
Austin FC,2 2,St. Louis City SC,current
Real Salt Lake,1 2,Colorado Rapids,current
Los Angeles Football Club,0 0,Sporting Kansas City,current
San Jose Earthquakes,0 2,Vancouver Whitecaps,current
FC Cincinnati,0 0,D.C. United,current
Nashville SC,2 2,Los Angeles Galaxy,current
Inter Miami CF,2 3,CF Montréal,current
Stal Mielec,3 1,Ruch Chorzow,current
Pogon Szczecin,0 2,Zaglebie Lubin,current
Widzew Lodz,1 0,Legia Warsaw,current
Lecco,0 1,Palermo,current
Venezia,3 1,Bari,current
Austria Lustenau,2 0,BW Linz,current
Austria Wien,2 0,WSG Tirol,current
Hartberg,1 1,Sturm Graz,current
RZ Pellets WAC,1 1,Altach,current
SK Austria Klagenfurt,1 1,SK Rapid Wien,current
Silkeborg,0 1,AGF Aarhus,current
Vejle BK,0 1,OB Odense,current
FC Copenhagen,4 0,Lyngby BK,current
Viborg FF,1 2,Brondby,current
Lamia,0 4,AEK Athens,current
Olympiakos FC,1 3,Panathinaikos,current
PAOK Salonika,0 1,Aris Salonika,current
Paksi SE,1 1,Debreceni Vasutas Sport Club,current
Fehervar FC,0 2,Ferencvaros,current
Zalaegerszegi TE,2 2,MTK Budapest,current
Consadole Sapporo,0 1,Urawa Reds,current
Arouca,0 3,Sporting Lisbon,current
Benfica,3 1,Estoril,current
Genk,1 0,Standard Liege,current
Club Brugge,3 1,Oud-Heverlee Leuven,current
Union Saint-Gilloise,1 1,AA Gent,current
KAS Eupen,1 0,Sint-Truidense VV,current
Manchester United,2 0,Everton,current
Bournemouth,2 2,Sheffield United,current
Crystal Palace,1 1,Luton Town,current
Wolverhampton Wanderers,2 1,Fulham,current
Arsenal,2 1,Brentford,current
Cardiff City,2 1,Ipswich Town,current
Blackburn Rovers,1 1,Plymouth Argyle,current
Hull City,2 2,Leicester City,current
Millwall,1 0,Birmingham City,current
Norwich City,5 0,Rotherham United,current
Preston North End,1 2,Stoke City,current
Queens Park Rangers,0 2,Middlesbrough,current
Southampton,4 2,Sunderland,current
Watford,1 2,Coventry City,current
Barnsley,1 5,Lincoln City,current
Blackpool,0 0,Portsmouth,current
Bristol Rovers,0 3,Derby County,current
Burton Albion,1 3,Peterborough United,current
Cambridge United,1 1,Northampton Town,current
Charlton Athletic,3 2,Carlisle United,current
Exeter City,2 2,Bolton Wanderers,current
Oxford United,2 1,Cheltenham Town,current
Port Vale,1 2,Shrewsbury Town,current
Reading,1 2,Wycombe Wanderers,current
Stevenage,0 0,Fleetwood Town,current
Wigan Athletic,1 0,Leyton Orient,current
Accrington Stanley,0 3,Bradford City,current
Barrow,2 0,Colchester United,current
Doncaster Rovers,2 0,Crewe Alexandra,current
Forest Green Rovers,2 0,Walsall,current
Gillingham,1 1,Tranmere Rovers,current
Harrogate Town,1 2,Crawley Town,current
Mansfield Town,3 2,Swindon Town,current
Milton Keynes Dons,3 1,Salford City,current
Morecambe,1 3,Wrexham,current
Notts County,0 2,AFC Wimbledon,current
Stockport County,1 0,Newport County AFC,current
Sutton United,1 1,Grimsby Town,current
Dundee United,4 0,Arbroath,current
Inverness CT,0 0,Airdrieonians,current
Queen's Park,2 2,Partick Thistle,current
Raith Rovers,2 0,Dunfermline Athletic,current
Alloa Athletic,3 0,Kelty Hearts,current
Annan Athletic,2 1,Queen Of The South,current
Cove Rangers,1 4,Montrose,current
Hamilton Academical,1 0,Edinburgh City,current
Stirling Albion,1 2,Falkirk,current
Aberdeen,3 1,Kilmarnock,current
East Fife,3 2,Dumbarton,current
Elgin City,1 0,Bonnyrigg Rose,current
Forfar Athletic,2 1,Clyde,current
Peterhead,2 0,Stranraer,current
Stenhousemuir,0 0,Spartans,current
Aldershot Town,2 0,Oldham Athletic,current
Altrincham,0 1,Woking,current
Chesterfield,4 1,AFC Fylde,current
FC Halifax,2 1,Boreham Wood,current
Kidderminster Harriers,0 0,York City,current
Maidenhead United,4 2,Dorking Wanderers,current
Rochdale,2 2,Oxford City,current
Southend United,1 1,Dagenham & Redbridge,current
Bayern Munich,8 1,Mainz,current
FC Augsburg,1 0,1. FC Heidenheim 1846,current
M'gladbach,3 3,Cologne,current
RB Leipzig,2 0,SV Darmstadt 98,current
Werder Bremen,1 2,Borussia Dortmund,current
Valencia,1 0,Getafe,current
Cadiz,2 0,Atletico Madrid,current
Granada,2 3,Real Sociedad,current
Girona,2 0,Osasuna,current
Cagliari,4 2,Salernitana,current
Sassuolo,1 0,Frosinone,current
Bologna,0 1,Inter Milan,current
Genoa,2 3,Monza,current
Lorient,0 2,Lyon,current
RC Lens,1 0,Brest,current
FC Twente,2 1,Sparta Rotterdam,current
Almere City FC,1 1,FC Utrecht,current
RKC Waalwijk,3 1,Vitesse Arnhem,current
Sligo Rovers,0 0,Shamrock Rovers,current
Ballymena United,2 4,Crusaders,current
Carrick Rangers,0 1,Newry City,current
Coleraine,0 0,Larne,current
Glenavon,4 0,Dungannon Swifts,current
Glentoran,0 3,Loughgall,current
Barry Town,1 1,Colwyn Bay,current
Newtown AFC,2 0,Cardiff Metropolitan University,current
Qarabag FK,2 2,Bayer Leverkusen,previous
Sparta Prague,1 5,Liverpool,previous
AC Milan,4 2,Slavia Prague,previous
Molde,2 1,Club Brugge,previous
Olympiakos FC,1 4,Maccabi Tel Aviv,previous
Dinamo Zagreb,2 0,PAOK Salonika,previous
Maccabi Haifa,3 4,Fiorentina,previous
Servette,0 0,FC Viktoria Plzen,previous
